экран,кнопка,название,действие,настройка,текст_или_цель,заметка
ДОМ,K1,🧭 МАРШРУТ,Folder,Folder,Открыть папку 🧭 МАРШРУТ,Главный маршрутизатор задач
ДОМ,K2,🧠 AI OS,Folder,Folder,Открыть папку 🧠 AI OS,"AI-concepts, evidence, use cases"
ДОМ,K3,♟ РЕШЕНИЯ,Folder,Folder,Открыть папку ♟ РЕШЕНИЯ,"Решения, сценарии, риски"
ДОМ,K4,📊 АНАЛИЗ,Folder,Folder,Открыть папку 📊 АНАЛИЗ,"Метрики, dashboard, данные"
ДОМ,K5,✍ ЗАПРОСЫ,Folder,Folder,Открыть папку ✍ ЗАПРОСЫ,"Prompts, model routing, eval"
ДОМ,K6,🛠 CODEX,Folder,Folder,Открыть папку 🛠 CODEX,Codex task package factory
ДОМ,K7,⚖ ПРОВЕРКА,Folder,Folder,Открыть папку ⚖ ПРОВЕРКА,"Judge, evidence, quality gates"
ДОМ,K8,📥 ВХОД,Folder,Folder,Открыть папку 📥 ВХОД,Быстрый захват
ДОМ,K9,📝 ЗАПИСКА,Folder,Folder,Открыть папку 📝 ЗАПИСКА,Фабрика записок
ДОМ,K10,🔎 ПОИСК,Folder,Folder,Открыть папку 🔎 ПОИСК,"Источник, hype filter"
ДОМ,K11,🗂 РЕПО,Folder,Folder,Открыть папку 🗂 РЕПО,GitHub/validation
ДОМ,K12,🚦 ПРОГОНЫ,Folder,Folder,Открыть папку 🚦 ПРОГОНЫ,Pilot cases
ДОМ,K13,📚 БАЗА,Folder,Folder,Открыть папку 📚 БАЗА,Knowledge base
ДОМ,K14,⚙ СИСТЕМА,Folder,Folder,Открыть папку ⚙ СИСТЕМА,Системные утилиты
ДОМ,K15,⛔ СТОП,Multi Action,Multi Action,Esc → switch/open AI OS HOME,"Не удалять, не закрывать критичные приложения"
МАРШРУТ,K1,⬆ НАЗАД,Navigation Back,штатный возврат из папки,Built-in folder back,Не перепрограммировать
МАРШРУТ,K2,Raw → Route,Text,System → Text,"# ROUTER — RAW → ROUTE

Исходный запрос:
[вставить]

Задача:
Работай как [Inbox Router]. Не решай целевую задачу. Нужно только классифицировать вход, выбрать маршрут, назвать риски и подготовить следующий шаг / handoff.

Фокус кнопки:
Общий вход без предварительной классификации. Найди лучший destination и один безопасный следующий шаг.

Сначала определи лучший маршрут, не подгоняй под название кнопки.

Правила маршрутизации:
- Things — конкретное физическое или цифровое действие.
- Calendar — встреча, дедлайн или жёсткий слот времени.
- Notes / Obsidian — контекст, идея, reference material, длинная заметка.
- [AI OS] — AI concept, AI use case, AI pattern, evidence, governance.
- [Thinking] — решение, стратегия, варианты, сценарии, риски.
- [Analytics] — данные, метрики, расчёты, сверки, dashboards, marts.
- [LLM] — prompt, GPT instructions, workflow, model routing, eval.
- [Codex] — код, implementation, tests, refactor, automation task package.
- Codex APP — сверхдолгая работа Codex / ultra-long run package.
- User — если без уточнения есть высокий риск неверного маршрута.


Проверка перед ответом:
- не решай задачу внутри Router;
- не отправляй не-actionable контекст в Things;
- не отправляй расчёты в [AI OS];
- не отправляй код в [Thinking];
- не отправляй в [Codex] без constraints, acceptance criteria и rollback;
- если маршрут unclear, задай максимум 1–3 вопроса.

Верни строго:

## Решение по маршруту
Куда:
Почему:
Уверенность: strong / medium / weak
Статус: direct / clarify / handoff / park / trash

## Классификация
Тип:
Можно действовать сейчас: да / нет
Нужно уточнение: да / нет

## Факты / допущения / пробелы
Факты:
Допущения:
Чего не хватает:
Риски:

## Следующее действие
Задача:
Area / Project:
Tag:
Готово, когда:

## Передача в проект
From:
To:
Task type:
Objective:
Context:
Inputs:
Constraints:
Expected output:
Acceptance criteria:
Risks:
Open questions:
Suggested first step:","Главный triage: route first, solve never"
МАРШРУТ,K3,Things?,Text,System → Text,"# ROUTER — THINGS GATE

Исходный запрос:
[вставить]

Задача:
Работай как [Inbox Router]. Не решай целевую задачу. Нужно только классифицировать вход, выбрать маршрут, назвать риски и подготовить следующий шаг / handoff.

Фокус кнопки:
Проверь, является ли вход конкретным действием для Things.

Предпочтительный маршрут для проверки: Things.

Правила маршрутизации:
- Things — конкретное физическое или цифровое действие.
- Calendar — встреча, дедлайн или жёсткий слот времени.
- Notes / Obsidian — контекст, идея, reference material, длинная заметка.
- [AI OS] — AI concept, AI use case, AI pattern, evidence, governance.
- [Thinking] — решение, стратегия, варианты, сценарии, риски.
- [Analytics] — данные, метрики, расчёты, сверки, dashboards, marts.
- [LLM] — prompt, GPT instructions, workflow, model routing, eval.
- [Codex] — код, implementation, tests, refactor, automation task package.
- Codex APP — сверхдолгая работа Codex / ultra-long run package.
- User — если без уточнения есть высокий риск неверного маршрута.
Things gate:
1. Есть ли глагол действия?
2. Понятно ли, где / в каком инструменте делать?
3. Понятно ли, когда задача готова?
Если хотя бы один ответ «нет» — не отправляй в Things, предложи уточнение или Notes / Obsidian.

Проверка перед ответом:
- не решай задачу внутри Router;
- не отправляй не-actionable контекст в Things;
- не отправляй расчёты в [AI OS];
- не отправляй код в [Thinking];
- не отправляй в [Codex] без constraints, acceptance criteria и rollback;
- если маршрут unclear, задай максимум 1–3 вопроса.

Верни строго:

## Решение по маршруту
Куда:
Почему:
Уверенность: strong / medium / weak
Статус: direct / clarify / handoff / park / trash

## Классификация
Тип:
Можно действовать сейчас: да / нет
Нужно уточнение: да / нет

## Факты / допущения / пробелы
Факты:
Допущения:
Чего не хватает:
Риски:

## Следующее действие
Задача:
Area / Project:
Tag:
Готово, когда:

## Передача в проект
From:
To:
Task type:
Objective:
Context:
Inputs:
Constraints:
Expected output:
Acceptance criteria:
Risks:
Open questions:
Suggested first step:",Проверка: можно ли сделать task в Things
МАРШРУТ,K4,Calendar?,Text,System → Text,"# ROUTER — CALENDAR GATE

Исходный запрос:
[вставить]

Задача:
Работай как [Inbox Router]. Не решай целевую задачу. Нужно только классифицировать вход, выбрать маршрут, назвать риски и подготовить следующий шаг / handoff.

Фокус кнопки:
Проверь, является ли вход событием, дедлайном или жёстким временным слотом.

Предпочтительный маршрут для проверки: Calendar.

Правила маршрутизации:
- Things — конкретное физическое или цифровое действие.
- Calendar — встреча, дедлайн или жёсткий слот времени.
- Notes / Obsidian — контекст, идея, reference material, длинная заметка.
- [AI OS] — AI concept, AI use case, AI pattern, evidence, governance.
- [Thinking] — решение, стратегия, варианты, сценарии, риски.
- [Analytics] — данные, метрики, расчёты, сверки, dashboards, marts.
- [LLM] — prompt, GPT instructions, workflow, model routing, eval.
- [Codex] — код, implementation, tests, refactor, automation task package.
- Codex APP — сверхдолгая работа Codex / ultra-long run package.
- User — если без уточнения есть высокий риск неверного маршрута.
Calendar gate:
- Есть дата YYYY-MM-DD или её можно надёжно вывести?
- Есть время / дедлайн / событие?
- Нужен ли участник, место, длительность?
Если времени нет, но есть действие — вероятно Things, не Calendar.

Проверка перед ответом:
- не решай задачу внутри Router;
- не отправляй не-actionable контекст в Things;
- не отправляй расчёты в [AI OS];
- не отправляй код в [Thinking];
- не отправляй в [Codex] без constraints, acceptance criteria и rollback;
- если маршрут unclear, задай максимум 1–3 вопроса.

Верни строго:

## Решение по маршруту
Куда:
Почему:
Уверенность: strong / medium / weak
Статус: direct / clarify / handoff / park / trash

## Классификация
Тип:
Можно действовать сейчас: да / нет
Нужно уточнение: да / нет

## Факты / допущения / пробелы
Факты:
Допущения:
Чего не хватает:
Риски:

## Следующее действие
Задача:
Area / Project:
Tag:
Готово, когда:

## Передача в проект
From:
To:
Task type:
Objective:
Context:
Inputs:
Constraints:
Expected output:
Acceptance criteria:
Risks:
Open questions:
Suggested first step:",Проверка: календарь или задача
