screen,button,label,icon_file,style_group,color_group,notes
HOME,K1,ROUTE,icons/v2.8/home/K1_route.png,level1_gloss_pictogram,level1_dark_operator,compass pictogram. Classify raw input and choose destination
HOME,K2,AI OS,icons/v2.8/home/K2_ai_os.png,level1_gloss_pictogram,level1_dark_operator,"network pictogram. AI concepts, trends, evidence, governance"
HOME,K3,THINKING,icons/v2.8/home/K3_thinking.png,level1_gloss_pictogram,level1_dark_operator,"knight pictogram. Decisions, options, risks, assumptions"
HOME,K4,ANALYTICS,icons/v2.8/home/K4_analytics.png,level1_gloss_pictogram,level1_dark_operator,"bars pictogram. Data contracts, deterministic calculations, QA"
HOME,K5,LLM,icons/v2.8/home/K5_llm.png,level1_gloss_pictogram,level1_dark_operator,"bubble pictogram. Prompts, context packs, model routing, evals"
HOME,K6,CODEX,icons/v2.8/home/K6_codex.png,level1_gloss_pictogram,level1_dark_operator,brackets pictogram. Goal Mode repo execution and PR workflow
HOME,K7,JUDGE,icons/v2.8/home/K7_judge.png,level1_gloss_pictogram,level1_dark_operator,shield pictogram. One-touch universal judge from HOME
HOME,K8,REVISOR,icons/v2.8/home/K8_revisor.png,level1_gloss_pictogram,level1_dark_operator,pencil_doc pictogram. One-touch revisor from HOME
HOME,K9,INBOX,icons/v2.8/home/K9_inbox.png,level1_gloss_pictogram,level1_dark_operator,inbox pictogram. Fast capture and routing prompt
HOME,K10,MEMO,icons/v2.8/home/K10_memo.png,level1_gloss_pictogram,level1_dark_operator,memo pictogram. Finance and management memo workflow
HOME,K11,AI TREND,icons/v2.8/home/K11_ai_trend.png,level1_gloss_pictogram,level1_dark_operator,trend pictogram. Renames v2.7 RESEARCH into command-oriented AI Trend
HOME,K12,SYNC,icons/v2.8/home/K12_sync.png,level1_gloss_pictogram,level1_dark_operator,sync pictogram. Replaces v2.7 REPO with daily Sync Check
HOME,K13,LOCAL AI,icons/v2.8/home/K13_local_ai.png,level1_gloss_pictogram,level1_dark_operator,chip pictogram. Candidate-only Ollama/Open WebUI safe pilot
HOME,K14,PILOTS,icons/v2.8/home/K14_pilots.png,level1_gloss_pictogram,level1_dark_operator,"flag pictogram. Pilot cases, results, acceptance gates"
HOME,K15,KB,icons/v2.8/home/K15_kb.png,level1_gloss_pictogram,level1_dark_operator,books pictogram. Knowledge bundle evidence checks
ROUTE,K1,BACK,icons/v2.8/level2/route/K1_back.png,level2_colored_text,blue_neutral,Do not reprogram
ROUTE,K2,Raw -> Route,icons/v2.8/level2/route/K2_raw_route.png,level2_colored_text,blue_navigation,"Router: classify and hand off, do not solve"
ROUTE,K3,Things?,icons/v2.8/level2/route/K3_things.png,level2_colored_text,blue_navigation,
ROUTE,K4,Calendar?,icons/v2.8/level2/route/K4_calendar.png,level2_colored_text,blue_navigation,
ROUTE,K5,Notes?,icons/v2.8/level2/route/K5_notes.png,level2_colored_text,blue_navigation,
ROUTE,K6,AI OS?,icons/v2.8/level2/route/K6_ai_os.png,level2_colored_text,blue_navigation,
ROUTE,K7,Thinking?,icons/v2.8/level2/route/K7_thinking.png,level2_colored_text,blue_navigation,
ROUTE,K8,Analytics?,icons/v2.8/level2/route/K8_analytics.png,level2_colored_text,blue_navigation,
ROUTE,K9,LLM?,icons/v2.8/level2/route/K9_llm.png,level2_colored_text,blue_navigation,
ROUTE,K10,Codex?,icons/v2.8/level2/route/K10_codex.png,level2_colored_text,blue_navigation,
ROUTE,K11,Codex APP?,icons/v2.8/level2/route/K11_codex_app.png,level2_colored_text,blue_navigation,
ROUTE,K12,Handoff,icons/v2.8/level2/route/K12_handoff.png,level2_colored_text,blue_navigation,
ROUTE,K13,Clarify,icons/v2.8/level2/route/K13_clarify.png,level2_colored_text,blue_navigation,
ROUTE,K14,EMPTY,icons/v2.8/level2/route/K14_empty.png,level2_colored_text,neutral_empty,Reserved; keep HOME uncluttered
ROUTE,K15,EMPTY,icons/v2.8/level2/route/K15_empty.png,level2_colored_text,neutral_empty,Reserved; keep HOME uncluttered
AI OS,K1,BACK,icons/v2.8/level2/ai_os/K1_back.png,level2_colored_text,blue_neutral,Do not reprogram
AI OS,K2,AI Trend,icons/v2.8/level2/ai_os/K2_ai_trend.png,level2_colored_text,green_ai,Trend triage / hype filter
AI OS,K3,Pattern Explain,icons/v2.8/level2/ai_os/K3_pattern_explain.png,level2_colored_text,green_ai,
AI OS,K4,Use Case,icons/v2.8/level2/ai_os/K4_use_case.png,level2_colored_text,green_ai,
AI OS,K5,Evidence Check,icons/v2.8/level2/ai_os/K5_evidence_check.png,level2_colored_text,green_ai,
AI OS,K6,Governance,icons/v2.8/level2/ai_os/K6_governance.png,level2_colored_text,green_ai,
AI OS,K7,To Thinking,icons/v2.8/level2/ai_os/K7_to_thinking.png,level2_colored_text,green_ai,
