order_id,quarter,region,product,units,unit_price_usd,status,revenue_usd
ORD-1001,Q1,North,Widget A,10,20.0,completed,200.0
ORD-1002,Q1,North,Widget A,5,20.0,completed,100.0
ORD-1003,Q1,North,Widget A,8,20.0,cancelled,160.0
ORD-1004,Q1,South,Widget B,6,30.0,completed,180.0
ORD-1005,Q1,South,Widget B,4,30.0,completed,120.0
ORD-1006,Q1,North,Widget C,3,50.0,completed,150.0
ORD-1007,Q1,North,Widget C,2,50.0,completed,100.0
ORD-1008,Q1,South,Widget A,5,20.0,completed,100.0
ORD-2001,Q2,North,Widget A,12,20.0,completed,240.0
ORD-2002,Q2,North,Widget A,6,20.0,completed,120.0
ORD-2003,Q2,South,Widget B,8,30.0,completed,240.0
ORD-2004,Q2,South,Widget B,5,30.0,cancelled,150.0
ORD-2005,Q2,North,Widget C,4,50.0,completed,200.0
ORD-2006,Q2,North,Widget C,3,50.0,completed,150.0
ORD-2007,Q2,South,Widget A,7,20.0,completed,140.0
ORD-2008,Q2,South,Widget B,3,30.0,completed,90.0
